date,civic_centre,marriage_licenses
2015-10-01,TO,478
2015-11-01,ET,91
2015-11-01,NY,176
2015-11-01,SC,149
2015-11-01,TO,342
2015-12-01,ET,104
2015-12-01,NY,169
2015-12-01,SC,144
2015-12-01,TO,335
2016-01-01,ET,92
2016-01-01,NY,156
2016-01-01,SC,131
2016-01-01,TO,346
2016-02-01,ET,123
2016-02-01,NY,170
2016-02-01,SC,173
2016-02-01,TO,364
2016-03-01,ET,155
2016-03-01,NY,197
2016-03-01,SC,204
2016-03-01,TO,517
2016-04-01,ET,197
2016-04-01,NY,257
2016-04-01,SC,246
2016-04-01,TO,695
2016-05-01,ET,247
2016-05-01,NY,326
2016-05-01,SC,306
2016-05-01,TO,895
2016-06-01,ET,255
2016-06-01,NY,344
2016-06-01,SC,341
2016-06-01,TO,1071
2016-07-01,ET,274
2016-07-01,NY,384
2016-07-01,SC,348
2016-07-01,TO,1041
2016-08-01,ET,296
2016-08-01,NY,358
2016-08-01,SC,333
2016-08-01,TO,1072
2016-09-01,ET,228
2016-09-01,NY,265
2016-09-01,SC,207
2016-09-01,TO,656
2016-10-01,ET,139
2016-10-01,NY,187
2016-10-01,SC,171
2016-10-01,TO,489
2016-11-01,ET,82
2016-11-01,NY,148
2016-11-01,SC,135
2016-11-01,TO,388
2016-12-01,ET,96
2016-12-01,NY,164
2016-12-01,SC,125
2016-12-01,TO,362
2017-01-01,ET,102
2017-01-01,NY,146
2017-01-01,SC,147
2017-01-01,TO,347
2017-02-01,ET,104
2017-02-01,NY,170
2017-02-01,SC,139
2017-02-01,TO,357
2017-03-01,ET,183
2017-03-01,NY,237
2017-03-01,SC,223
2017-03-01,TO,608
2017-04-01,ET,173
2017-04-01,NY,276
2017-04-01,SC,222
2017-04-01,TO,627
2017-05-01,ET,234
2017-05-01,NY,323
2017-05-01,SC,323
2017-05-01,TO,894
2017-06-01,ET,250
2017-06-01,NY,350
2017-06-01,SC,346
2017-06-01,TO,943
2017-07-01,ET,287
2017-07-01,NY,367
2017-07-01,SC,320
2017-07-01,TO,971
2017-08-01,ET,324
2017-08-01,NY,344
2017-08-01,SC,312
2017-08-01,TO,1066
2017-09-01,ET,207
2017-09-01,NY,268
2017-09-01,SC,233
2017-09-01,TO,729
2017-10-01,ET,144
2017-10-01,NY,219
2017-10-01,SC,194
2017-10-01,TO,552
2017-11-01,ET,98
2017-11-01,NY,185
2017-11-01,SC,160
2017-11-01,TO,393
2017-12-01,ET,114
2017-12-01,NY,156
2017-12-01,SC,132
2017-12-01,TO,385
2018-01-01,ET,128
2018-01-01,NY,156
2018-01-01,SC,156
2018-01-01,TO,375
2018-02-01,ET,145
2018-02-01,NY,182
2018-02-01,SC,149
2018-02-01,TO,344
2018-03-01,ET,177
2018-03-01,NY,235
2018-03-01,SC,187
2018-03-01,TO,538
2018-04-01,ET,188
2018-04-01,NY,238
2018-04-01,SC,239
2018-04-01,TO,657
2018-05-01,ET,229
2018-05-01,NY,337
2018-05-01,SC,302
2018-05-01,TO,880
2018-06-01,ET,279
2018-06-01,NY,337
2018-06-01,SC,338
2018-06-01,TO,964
2018-07-01,ET,324
2018-07-01,NY,408
2018-07-01,SC,347
2018-07-01,TO,1090
2018-08-01,ET,365
2018-08-01,NY,323
2018-08-01,SC,392
2018-08-01,TO,1117
2018-09-01,ET,209
2018-09-01,NY,256
2018-09-01,SC,216
2018-09-01,TO,719
2018-10-01,ET,187
2018-10-01,NY,227
2018-10-01,SC,186
2018-10-01,TO,582
2018-11-01,ET,140
2018-11-01,NY,199
2018-11-01,SC,169
2018-11-01,TO,397
2018-12-01,ET,108
2018-12-01,NY,157
2018-12-01,SC,123
2018-12-01,TO,329
2019-01-01,ET,123
2019-01-01,NY,162
2019-01-01,SC,151
2019-01-01,TO,341
2019-02-01,ET,143
2019-02-01,NY,190
2019-02-01,SC,158
2019-02-01,TO,382
2019-03-01,ET,170
2019-03-01,NY,236
2019-03-01,SC,240
2019-03-01,TO,576
2019-04-01,ET,193
2019-04-01,NY,290
2019-04-01,SC,237
2019-04-01,TO,724
2019-05-01,ET,235
2019-05-01,NY,336
2019-05-01,SC,285
2019-05-01,TO,879
2019-06-01,ET,242
2019-06-01,NY,315
2019-06-01,SC,280
2019-06-01,TO,901
2019-07-01,ET,308
2019-07-01,NY,407
2019-07-01,SC,323
2019-07-01,TO,1079
2019-08-01,ET,281
2019-08-01,NY,384
2019-08-01,SC,329
2019-08-01,TO,1011
2019-09-01,ET,220
2019-09-01,NY,247
2019-09-01,SC,221
2019-09-01,TO,738
2019-10-01,ET,150
2019-10-01,NY,228
2019-10-01,SC,172
2019-10-01,TO,576
2019-11-01,ET,120
2019-11-01,NY,198
2019-11-01,SC,156
2019-11-01,TO,433
2019-12-01,ET,122
2019-12-01,NY,187
2019-12-01,SC,153
2019-12-01,TO,393
2020-01-01,ET,130
2020-01-01,NY,168
2020-01-01,SC,171
2020-01-01,TO,426
2020-02-01,ET,130
2020-02-01,NY,184
2020-02-01,SC,160
2020-02-01,TO,434
2020-03-01,ET,101
2020-03-01,NY,122
2020-03-01,SC,99
2020-03-01,TO,294
2020-04-01,TO,47
2020-05-01,TO,123
2020-06-01,NY,167
2020-06-01,SC,222
2020-06-01,TO,248
2020-07-01,NY,718
2020-07-01,SC,782
2020-08-01,NY,776
2020-08-01,SC,637
2020-09-01,NY,864
2020-09-01,SC,569
2020-10-01,NY,536
2020-10-01,SC,581
2020-11-01,NY,366
2020-11-01,SC,320
2020-12-01,NY,168
2020-12-01,SC,200
2021-01-01,NY,286
2021-01-01,SC,78
2021-02-01,NY,427
2021-02-01,SC,108
2021-03-01,NY,631
2021-03-01,SC,285
2021-04-01,ET,1
2021-04-01,NY,560
2021-04-01,SC,191
2021-05-01,NY,518
2021-05-01,SC,187
2021-06-01,NY,677
2021-06-01,SC,215
2021-06-01,TO,3
2021-07-01,NY,997
2021-07-01,SC,375
2021-08-01,NY,372
2021-08-01,SC,266
2021-08-01,TO,922
2021-09-01,TO,1773
2021-10-01,TO,1413
2021-11-01,TO,783
2021-12-01,NY,1
2021-12-01,TO,689
2022-01-01,TO,472
2022-02-01,TO,536
2022-03-01,TO,1220
2022-04-01,TO,1265
2022-05-01,TO,1269
2022-06-01,NY,455
2022-06-01,TO,1658
2022-07-01,NY,559
2022-07-01,TO,1507
2022-08-01,NY,647
2022-08-01,TO,1656
2022-09-01,NY,467
2022-09-01,TO,1108
2022-10-01,NY,304
2022-10-01,TO,611
2022-11-01,NY,329
2022-11-01,TO,476
2022-12-01,NY,128
2022-12-01,TO,556
2023-01-01,NY,149
2023-01-01,TO,563
2023-02-01,NY,156
2023-02-01,TO,617
2023-03-01,NY,215
2023-03-01,TO,929
2023-04-01,NY,318
2023-04-01,TO,1086
2023-05-01,NY,305
2023-05-01,TO,1507
2023-06-01,NY,416
2023-06-01,TO,1507
2023-07-01,NY,439
2023-07-01,TO,1628
2023-08-01,NY,412
2023-08-01,TO,1649
2023-09-01,NY,266
2023-09-01,TO,1156
2023-10-01,NY,296
2023-10-01,TO,811
2023-11-01,NY,260
2023-11-01,TO,606
2023-12-01,NY,99
2023-12-01,TO,646
2024-01-01,NY,135
2024-01-01,TO,840
2024-02-01,NY,193
2024-02-01,TO,800
2024-03-01,NY,114
2024-03-01,TO,1116
2024-04-01,NY,270
2024-04-01,TO,1279
2024-05-01,NY,409
2024-05-01,TO,1347
2024-06-01,NY,394
2024-06-01,TO,1355
2024-07-01,NY,670
2024-07-01,TO,1546
2024-08-01,NY,675
2024-08-01,TO,1406
